zip_code,state_x,county_x,combine,income
85277,az,maricopa,maricopaaz,81501.0
85278,az,pinal,pinalaz,65692.0
85279,az,pinal,pinalaz,65692.0
85280,az,maricopa,maricopaaz,81501.0
85281,az,maricopa,maricopaaz,81501.0
85282,az,maricopa,maricopaaz,81501.0
85283,az,maricopa,maricopaaz,81501.0
85284,az,maricopa,maricopaaz,81501.0
85285,az,maricopa,maricopaaz,81501.0
85287,az,maricopa,maricopaaz,81501.0
85289,az,maricopa,maricopaaz,81501.0
85290,az,maricopa,maricopaaz,81501.0
85291,az,pinal,pinalaz,65692.0
85296,az,maricopa,maricopaaz,81501.0
85297,az,maricopa,maricopaaz,81501.0
85299,az,maricopa,maricopaaz,81501.0
85301,az,maricopa,maricopaaz,81501.0
85302,az,maricopa,maricopaaz,81501.0
85303,az,maricopa,maricopaaz,81501.0
85304,az,maricopa,maricopaaz,81501.0
85305,az,maricopa,maricopaaz,81501.0
85306,az,maricopa,maricopaaz,81501.0
85307,az,maricopa,maricopaaz,81501.0
85308,az,maricopa,maricopaaz,81501.0
85309,az,maricopa,maricopaaz,81501.0
85310,az,maricopa,maricopaaz,81501.0
85311,az,maricopa,maricopaaz,81501.0
85312,az,maricopa,maricopaaz,81501.0
85313,az,maricopa,maricopaaz,81501.0
85318,az,maricopa,maricopaaz,81501.0
85320,az,maricopa,maricopaaz,81501.0
85321,az,pima,pimaaz,65881.0
85322,az,maricopa,maricopaaz,81501.0
85323,az,maricopa,maricopaaz,81501.0
85324,az,yavapai,yavapaiaz,65804.0
85326,az,maricopa,maricopaaz,81501.0
85327,az,maricopa,maricopaaz,81501.0
85329,az,maricopa,maricopaaz,81501.0
85331,az,maricopa,maricopaaz,81501.0
85332,az,yavapai,yavapaiaz,65804.0
85333,az,yuma,yumaaz,56872.0
85335,az,maricopa,maricopaaz,81501.0
85336,az,yuma,yumaaz,56872.0
85337,az,maricopa,maricopaaz,81501.0
85338,az,maricopa,maricopaaz,81501.0
85339,az,maricopa,maricopaaz,81501.0
85340,az,maricopa,maricopaaz,81501.0
85341,az,pima,pimaaz,65881.0
85342,az,maricopa,maricopaaz,81501.0
85343,az,maricopa,maricopaaz,81501.0
85345,az,maricopa,maricopaaz,81501.0
85347,az,yuma,yumaaz,56872.0
85349,az,yuma,yumaaz,56872.0
85350,az,yuma,yumaaz,56872.0
85351,az,maricopa,maricopaaz,81501.0
85352,az,yuma,yumaaz,56872.0
85353,az,maricopa,maricopaaz,81501.0
85354,az,maricopa,maricopaaz,81501.0
85355,az,maricopa,maricopaaz,81501.0
85356,az,yuma,yumaaz,56872.0
85358,az,maricopa,maricopaaz,81501.0
85360,az,mohave,mohaveaz,57530.0
85361,az,maricopa,maricopaaz,81501.0
85362,az,yavapai,yavapaiaz,65804.0
85363,az,maricopa,maricopaaz,81501.0
85364,az,yuma,yumaaz,56872.0
85365,az,yuma,yumaaz,56872.0
85366,az,yuma,yumaaz,56872.0
85367,az,yuma,yumaaz,56872.0
85369,az,yuma,yumaaz,56872.0
85372,az,maricopa,maricopaaz,81501.0
85373,az,maricopa,maricopaaz,81501.0
85374,az,maricopa,maricopaaz,81501.0
85375,az,maricopa,maricopaaz,81501.0
85376,az,maricopa,maricopaaz,81501.0
85377,az,maricopa,maricopaaz,81501.0
85378,az,maricopa,maricopaaz,81501.0
85379,az,maricopa,maricopaaz,81501.0
85380,az,maricopa,maricopaaz,81501.0
85381,az,maricopa,maricopaaz,81501.0
85382,az,maricopa,maricopaaz,81501.0
85383,az,maricopa,maricopaaz,81501.0
85385,az,maricopa,maricopaaz,81501.0
85387,az,maricopa,maricopaaz,81501.0
85390,az,maricopa,maricopaaz,81501.0
85601,az,pima,pimaaz,65881.0
85602,az,cochise,cochiseaz,55174.0
85603,az,cochise,cochiseaz,55174.0
85605,az,cochise,cochiseaz,55174.0
85606,az,cochise,cochiseaz,55174.0
85607,az,cochise,cochiseaz,55174.0
85608,az,cochise,cochiseaz,55174.0
85609,az,cochise,cochiseaz,55174.0
85610,az,cochise,cochiseaz,55174.0
85613,az,cochise,cochiseaz,55174.0
85614,az,pima,pimaaz,65881.0
85615,az,cochise,cochiseaz,55174.0
85616,az,cochise,cochiseaz,55174.0
85617,az,cochise,cochiseaz,55174.0
85618,az,pinal,pinalaz,65692.0
85619,az,pima,pimaaz,65881.0
85620,az,cochise,cochiseaz,55174.0
85622,az,pima,pimaaz,65881.0
85623,az,pinal,pinalaz,65692.0
85625,az,cochise,cochiseaz,55174.0
85626,az,cochise,cochiseaz,55174.0
85627,az,cochise,cochiseaz,55174.0
85629,az,pima,pimaaz,65881.0
85630,az,cochise,cochiseaz,55174.0
85631,az,pinal,pinalaz,65692.0
85632,az,cochise,cochiseaz,55174.0
85633,az,pima,pimaaz,65881.0
85634,az,pima,pimaaz,65881.0
85635,az,cochise,cochiseaz,55174.0
85636,az,cochise,cochiseaz,55174.0
85638,az,cochise,cochiseaz,55174.0
85639,az,pima,pimaaz,65881.0
85641,az,pima,pimaaz,65881.0
85643,az,cochise,cochiseaz,55174.0
85644,az,cochise,cochiseaz,55174.0
85650,az,cochise,cochiseaz,55174.0
85652,az,pima,pimaaz,65881.0
85653,az,pima,pimaaz,65881.0
85654,az,pima,pimaaz,65881.0
85655,az,cochise,cochiseaz,55174.0
85670,az,cochise,cochiseaz,55174.0
85671,az,cochise,cochiseaz,55174.0
85701,az,pima,pimaaz,65881.0
85702,az,pima,pimaaz,65881.0
85703,az,pima,pimaaz,65881.0
85704,az,pima,pimaaz,65881.0
85705,az,pima,pimaaz,65881.0
85706,az,pima,pimaaz,65881.0
85707,az,pima,pimaaz,65881.0
85708,az,pima,pimaaz,65881.0
85709,az,pima,pimaaz,65881.0
85710,az,pima,pimaaz,65881.0
85711,az,pima,pimaaz,65881.0
85712,az,pima,pimaaz,65881.0
85713,az,pima,pimaaz,65881.0
85714,az,pima,pimaaz,65881.0
85715,az,pima,pimaaz,65881.0
85716,az,pima,pimaaz,65881.0
85717,az,pima,pimaaz,65881.0
85718,az,pima,pimaaz,65881.0
85719,az,pima,pimaaz,65881.0
85720,az,pima,pimaaz,65881.0
85721,az,pima,pimaaz,65881.0
85722,az,pima,pimaaz,65881.0
85723,az,pima,pimaaz,65881.0
85724,az,pima,pimaaz,65881.0
85725,az,pima,pimaaz,65881.0
85726,az,pima,pimaaz,65881.0
85728,az,pima,pimaaz,65881.0
85730,az,pima,pimaaz,65881.0
85731,az,pima,pimaaz,65881.0
85732,az,pima,pimaaz,65881.0
85733,az,pima,pimaaz,65881.0
85734,az,pima,pimaaz,65881.0
85735,az,pima,pimaaz,65881.0
85736,az,pima,pimaaz,65881.0
85737,az,pima,pimaaz,65881.0
85738,az,pima,pimaaz,65881.0
85739,az,pima,pimaaz,65881.0
85740,az,pima,pimaaz,65881.0
85741,az,pima,pimaaz,65881.0
85742,az,pima,pimaaz,65881.0
85743,az,pima,pimaaz,65881.0
85744,az,pima,pimaaz,65881.0
85745,az,pima,pimaaz,65881.0
85746,az,pima,pimaaz,65881.0
85747,az,pima,pimaaz,65881.0
85748,az,pima,pimaaz,65881.0
85749,az,pima,pimaaz,65881.0
85750,az,pima,pimaaz,65881.0
85751,az,pima,pimaaz,65881.0
85752,az,pima,pimaaz,65881.0
85754,az,pima,pimaaz,65881.0
85775,az,pima,pimaaz,65881.0
85777,az,pima,pimaaz,65881.0
85901,az,navajo,navajoaz,51447.0
85902,az,navajo,navajoaz,51447.0
85911,az,navajo,navajoaz,51447.0
85912,az,navajo,navajoaz,51447.0
85920,az,apache,apacheaz,44505.0
85923,az,navajo,navajoaz,51447.0
85924,az,apache,apacheaz,44505.0
85925,az,apache,apacheaz,44505.0
85926,az,navajo,navajoaz,51447.0
85927,az,apache,apacheaz,44505.0
85928,az,navajo,navajoaz,51447.0
85929,az,navajo,navajoaz,51447.0
85930,az,apache,apacheaz,44505.0
85931,az,coconino,coconinoaz,67297.0
85932,az,apache,apacheaz,44505.0
85933,az,navajo,navajoaz,51447.0
85934,az,navajo,navajoaz,51447.0
85935,az,navajo,navajoaz,51447.0
85936,az,apache,apacheaz,44505.0
85937,az,navajo,navajoaz,51447.0
85938,az,apache,apacheaz,44505.0
85939,az,navajo,navajoaz,51447.0
85940,az,apache,apacheaz,44505.0
85941,az,navajo,navajoaz,51447.0
85942,az,navajo,navajoaz,51447.0
86001,az,coconino,coconinoaz,67297.0
86002,az,coconino,coconinoaz,67297.0
86003,az,coconino,coconinoaz,67297.0
86004,az,coconino,coconinoaz,67297.0
86011,az,coconino,coconinoaz,67297.0
86015,az,coconino,coconinoaz,67297.0
86016,az,coconino,coconinoaz,67297.0
86017,az,coconino,coconinoaz,67297.0
86018,az,coconino,coconinoaz,67297.0
86020,az,coconino,coconinoaz,67297.0
86021,az,mohave,mohaveaz,57530.0
86022,az,coconino,coconinoaz,67297.0
86023,az,coconino,coconinoaz,67297.0
86024,az,coconino,coconinoaz,67297.0
86025,az,navajo,navajoaz,51447.0
86028,az,apache,apacheaz,44505.0
86029,az,navajo,navajoaz,51447.0
86030,az,navajo,navajoaz,51447.0
86031,az,navajo,navajoaz,51447.0
86032,az,navajo,navajoaz,51447.0
86033,az,navajo,navajoaz,51447.0
86034,az,navajo,navajoaz,51447.0
86035,az,coconino,coconinoaz,67297.0
86036,az,coconino,coconinoaz,67297.0
86038,az,coconino,coconinoaz,67297.0
86039,az,navajo,navajoaz,51447.0
86040,az,coconino,coconinoaz,67297.0
86042,az,navajo,navajoaz,51447.0
86043,az,navajo,navajoaz,51447.0
86044,az,coconino,coconinoaz,67297.0
86045,az,coconino,coconinoaz,67297.0
86046,az,coconino,coconinoaz,67297.0
86047,az,navajo,navajoaz,51447.0
86052,az,coconino,coconinoaz,67297.0
86053,az,coconino,coconinoaz,67297.0
86054,az,navajo,navajoaz,51447.0
86301,az,yavapai,yavapaiaz,65804.0
86302,az,yavapai,yavapaiaz,65804.0
86303,az,yavapai,yavapaiaz,65804.0
86304,az,yavapai,yavapaiaz,65804.0
86305,az,yavapai,yavapaiaz,65804.0
86312,az,yavapai,yavapaiaz,65804.0
86313,az,yavapai,yavapaiaz,65804.0
86314,az,yavapai,yavapaiaz,65804.0
86320,az,yavapai,yavapaiaz,65804.0
86321,az,yavapai,yavapaiaz,65804.0
86322,az,yavapai,yavapaiaz,65804.0
86323,az,yavapai,yavapaiaz,65804.0
86324,az,yavapai,yavapaiaz,65804.0
86325,az,yavapai,yavapaiaz,65804.0
86326,az,yavapai,yavapaiaz,65804.0
86327,az,yavapai,yavapaiaz,65804.0
86329,az,yavapai,yavapaiaz,65804.0
86330,az,yavapai,yavapaiaz,65804.0
86331,az,yavapai,yavapaiaz,65804.0
86332,az,yavapai,yavapaiaz,65804.0
86333,az,yavapai,yavapaiaz,65804.0
86334,az,yavapai,yavapaiaz,65804.0
86335,az,yavapai,yavapaiaz,65804.0
86336,az,coconino,coconinoaz,67297.0
86337,az,yavapai,yavapaiaz,65804.0
86338,az,yavapai,yavapaiaz,65804.0
86339,az,coconino,coconinoaz,67297.0
86340,az,yavapai,yavapaiaz,65804.0
86341,az,yavapai,yavapaiaz,65804.0
86342,az,yavapai,yavapaiaz,65804.0
86343,az,yavapai,yavapaiaz,65804.0
86351,az,coconino,coconinoaz,67297.0
86401,az,mohave,mohaveaz,57530.0
86402,az,mohave,mohaveaz,57530.0
86403,az,mohave,mohaveaz,57530.0
86404,az,mohave,mohaveaz,57530.0
86405,az,mohave,mohaveaz,57530.0
86406,az,mohave,mohaveaz,57530.0
86411,az,mohave,mohaveaz,57530.0
86412,az,mohave,mohaveaz,57530.0
86413,az,mohave,mohaveaz,57530.0
86426,az,mohave,mohaveaz,57530.0
86427,az,mohave,mohaveaz,57530.0
86429,az,mohave,mohaveaz,57530.0
86430,az,mohave,mohaveaz,57530.0
86431,az,mohave,mohaveaz,57530.0
86432,az,mohave,mohaveaz,57530.0
86433,az,mohave,mohaveaz,57530.0
86434,az,mohave,mohaveaz,57530.0
86435,az,coconino,coconinoaz,67297.0
86436,az,mohave,mohaveaz,57530.0
86437,az,mohave,mohaveaz,57530.0
86438,az,mohave,mohaveaz,57530.0
86439,az,mohave,mohaveaz,57530.0
86440,az,mohave,mohaveaz,57530.0
86441,az,mohave,mohaveaz,57530.0
86442,az,mohave,mohaveaz,57530.0
86443,az,mohave,mohaveaz,57530.0
